"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella",0,0,0,0,0,0,0,0,0,0,0,0,299,384,385,383,351,357,341,356,359,311,306,288,311,311
"d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage;g__Pla4_lineage",0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,2,15,2,8,1,3,5,25,5,5,10
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,195,181,184,267,170,247,97,139,116,150,167,172,190,172
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,29,25,34,32,22,33,43,23,46,18,25,17,31,15
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__FFCH7168",0,0,0,0,0,0,0,0,0,0,0,0,267,274,287,275,306,243,394,372,266,296,359,352,312,349
"d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__BD2-11_terrestrial_group;f__BD2-11_terrestrial_group;g__BD2-11_terrestrial_group",0,0,0,0,0,0,0,0,0,0,0,0,68,54,35,53,56,49,42,73,54,56,53,57,48,38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__mle1-7",0,0,0,0,0,0,0,0,0,0,0,0,61,50,55,47,62,104,92,54,61,68,76,34,67,41
"d__Bacteria;p__RCP2-54;c__RCP2-54;o__RCP2-54;f__RCP2-54;g__RCP2-54",0,0,0,0,0,0,0,0,0,0,0,0,53,17,50,21,11,59,23,44,31,24,37,16,23,21
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,48,36,67,38,23,36,29,48,31,36,46,50,18,40
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__DS-100;g__DS-100",0,0,0,0,0,0,0,0,0,0,0,0,281,294,260,300,309,302,389,414,412,406,398,360,342,376
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,225,233,285,223,227,228,207,171,200,189,243,244,169,183
"d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B);g__SAR324_clade(Marine_group_B)",0,0,0,0,0,0,0,0,0,0,0,0,34,19,47,39,39,26,37,26,17,10,35,30,22,32
"d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190",0,0,0,0,0,0,0,0,0,0,0,0,69,67,53,56,41,36,81,123,105,49,82,78,54,85
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Pajaroellobacter",0,0,0,0,0,0,0,0,0,0,0,0,234,262,228,229,247,250,244,198,237,253,312,164,217,202
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Pilimelia",0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,6,4,17,6,8,0,2,11,0,6,0
"d__Bacteria;p__Planctomycetota;c__vadinHA49;o__vadinHA49;f__vadinHA49;g__vadinHA49",0,0,0,0,0,0,0,0,0,0,0,0,37,20,40,25,24,33,18,6,36,29,25,23,16,43
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,2801,3037,3196,2858,2641,2397,2659,2952,3105,3151,3368,2995,2867,2299
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_12",0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,26,11,7,7,8,1,11,5,14,0,7
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__IMCC26134",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,8,3,3,0,5,7,2,8,3,0
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__JCM_18997",0,0,0,0,0,0,0,0,0,0,0,0,13,19,12,12,21,4,4,10,9,22,11,0,14,13
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,39,27,15,54,35,20,53,33,43,36,50,35,23,35
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Polyangium",0,0,0,0,0,0,0,0,0,0,0,0,52,20,22,51,37,43,10,28,29,25,30,26,22,40
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Gracilibacteraceae;g__Lutispora",0,0,0,0,0,0,0,0,0,0,0,0,35,13,36,22,14,51,24,16,9,5,14,32,6,34
"d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II",0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,2,12,4,1,5,4,4,8,5,0,14
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Candidatus_Ovatusbacter",0,0,0,0,0,0,0,0,0,0,0,0,23,14,28,17,18,11,9,6,6,8,5,11,16,11
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,234,289,290,315,301,344,208,202,233,196,261,244,221,249
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Cytophaga",0,0,0,0,0,0,0,0,0,0,0,0,6,14,3,2,9,17,14,31,16,4,12,15,8,9
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,30,15,4,10,8,23,22,31,17,31,5,13,20,8
"d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085;g__S085",0,0,0,0,0,0,0,0,0,0,0,0,212,265,202,231,237,291,295,295,290,260,287,420,262,333
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,932,993,933,832,825,837,746,810,782,850,893,861,807,656
"d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,498,494,497,458,446,448,729,624,693,624,548,707,757,672
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Roseimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,75,69,64,62,39,70,89,83,52,58,105,81,56,38
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,999,849,824,863,856,676,555,774,679,665,701,761,634,601
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquicella",0,0,0,0,0,0,0,0,0,0,0,0,15,22,14,15,19,18,12,13,16,19,25,15,31,10
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,256,270,239,228,209,213,185,163,163,167,164,202,185,188
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Kouleothrix",0,0,0,0,0,0,0,0,0,0,0,0,21,23,35,31,17,15,29,21,40,17,13,36,22,40
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus",0,0,0,0,0,0,0,0,0,0,0,0,16,15,42,30,29,32,15,39,30,40,20,44,31,23
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis",0,0,0,0,0,0,0,0,0,0,0,0,71,54,88,79,74,63,75,66,47,53,49,59,63,85
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,2332,2125,2390,1995,2062,2196,1991,2016,1860,1947,1894,1928,1822,1828
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group;g__NS11-12_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,10,17,30,33,25,24,37,22,23,21,38,9,6,26
"d__Bacteria;p__Patescibacteria;c__Gracilibacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,7,5,1,0,2,11,4,1,0,4,2
"d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb;o__Lineage_IIb;f__Lineage_IIb;g__Lineage_IIb",0,0,0,0,0,0,0,0,0,0,0,0,39,29,34,38,53,79,47,56,24,25,32,21,38,22
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea",0,0,0,0,0,0,0,0,0,0,0,0,67,97,45,56,127,85,102,133,114,139,125,87,88,126
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,16,35,8,5,22,18,39,10,15,16,16,8,24,15
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Unknown_Family",0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,7,1,12,14,0,3,1,5,0,3
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Hamadaea",0,0,0,0,0,0,0,0,0,0,0,0,123,117,133,114,176,124,103,129,133,80,85,104,129,75
"d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10",0,0,0,0,0,0,0,0,0,0,0,0,562,597,603,695,588,622,588,608,543,580,410,678,529,540
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodoplanes",0,0,0,0,0,0,0,0,0,0,0,0,475,516,439,501,511,519,462,474,417,500,416,414,407,431
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter",0,0,0,0,0,0,0,0,0,0,0,0,1360,1292,1303,1249,1321,1445,1150,1034,1087,1167,1256,1264,1138,1385
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella",0,0,0,0,0,0,0,0,0,0,0,0,1530,1360,1384,1411,1564,1468,1449,1424,1393,1239,1330,1254,1337,1338
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum",0,0,0,0,0,0,0,0,0,0,0,0,20,19,29,26,37,38,25,21,11,33,17,23,8,28
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter",0,0,0,0,0,0,0,0,0,0,0,0,923,1046,876,913,947,888,876,821,881,796,768,783,908,866
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus",0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,19,16,19,8,14,14,10,10,24,15,15
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9;g__RBG-13-54-9",0,0,0,0,0,0,0,0,0,0,0,0,69,61,51,57,30,69,62,60,51,69,38,47,61,96
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis",0,0,0,0,0,0,0,0,0,0,0,0,151,157,168,155,225,174,163,185,140,177,183,127,189,125
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,22,8,18,11,29,2,27,12,6,11,8,7,18,13
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,244,257,328,287,271,290,229,268,258,253,325,295,300,277
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,310,253,261,236,211,248,440,500,378,369,323,322,352,349
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,514,501,527,579,548,529,493,534,482,539,654,470,448,556
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,24,15,23,14,6,23,5,14,5,16,13,10,19,10
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Candidatus_Accumulibacter",0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,15,8,3,0,0,17,0,6,5,0,5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,5,1,4,4,15,0,3,0,0,6,0
"d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus",0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,13,8,2,10,18,6,3,8,20,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,29,52,26,30,36,50,0,2,1,2,8,11,1,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,5,8,8,0,0,7,10,7,3,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Flexibacter",0,0,0,0,0,0,0,0,0,0,0,0,5,2,11,8,11,4,4,0,10,4,4,9,3,5
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,36,53,69,23,37,58,8,36,39,26,34,77,39,32
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter",0,0,0,0,0,0,0,0,0,0,0,0,1400,1523,1497,1444,1548,1639,1166,1217,1407,1358,1177,1257,1137,1297
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Siccirubricoccus",0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,22,2,8,1,3,9,5,8,1,0,5
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,9,17,17,11,2,8,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,74,80,74,53,65,74,25,13,30,33,23,36,32,31
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1",0,0,0,0,0,0,0,0,0,0,0,0,385,326,392,300,458,457,330,331,281,352,341,415,353,388
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,29,17,16,23,35,31,8,12,19,39,26,24,8,10
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,14,14,15,25,14,7,18,10,21,18,2
"d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119;g__C0119",0,0,0,0,0,0,0,0,0,0,0,0,604,570,566,599,508,624,677,601,775,696,637,675,644,737
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,51,90,82,40,102,87,69,64,31,64,41,87,91,66
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,130,83,113,130,116,116,65,70,90,94,113,66,93,140
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,15,8,14,28,16,10,9,6,10,6,23,12,2,13
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,38,39,54,54,42,71,38,35,50,50,63,24,36,62
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes",0,0,0,0,0,0,0,0,0,0,0,0,1140,1175,1123,1164,1133,1032,985,974,979,942,828,1046,942,868
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,47,39,35,57,26,49,50,39,38,64,40,60,34,35
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella",0,0,0,0,0,0,0,0,0,0,0,0,139,251,179,180,206,194,134,180,159,173,103,139,162,180
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera",0,0,0,0,0,0,0,0,0,0,0,0,278,282,322,249,335,310,370,450,425,403,345,319,385,343
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella",0,0,0,0,0,0,0,0,0,0,0,0,12,11,9,13,1,13,15,7,11,18,5,9,10,6
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinophytocola",0,0,0,0,0,0,0,0,0,0,0,0,364,353,342,328,378,307,335,291,334,251,381,328,349,306
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys",0,0,0,0,0,0,0,0,0,0,0,0,193,165,157,165,137,139,119,141,121,153,135,121,126,191
"d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Microgenomatia;f__Microgenomatia;g__Microgenomatia",0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,1,0,8,8,0,10,2,3,3,23
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,42,44,84,67,86,72,89,45,98,78,83,81,48,78
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermincolales;f__Thermincolaceae;g__Thermincola",0,0,0,0,0,0,0,0,0,0,0,0,18,16,11,2,15,26,9,26,5,8,17,30,4,4
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,15,5,5,6,0,0,11,9,8,8,2,10,0,0
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,917,978,1013,1010,973,926,1430,1326,1401,1347,1259,1352,1433,1381
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter",0,0,0,0,0,0,0,0,0,0,0,0,419,452,491,453,519,448,406,434,381,397,411,421,370,398
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__A21b;g__A21b",0,0,0,0,0,0,0,0,0,0,0,0,56,22,52,31,56,47,15,20,26,35,40,35,10,35
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter",0,0,0,0,0,0,0,0,0,0,0,0,5,22,10,13,16,10,0,0,0,6,0,6,4,10
"d__Bacteria;p__Acidobacteriota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,10,8,2,9,6,4,1,4,0,10
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__SWB02",0,0,0,0,0,0,0,0,0,0,0,0,20,7,9,12,8,12,4,6,1,12,16,12,12,22
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,51,86,92,91,79,69,56,55,44,79,54,44,48,46
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32",0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,8,4,5,7,22,5,10,10,9,4,0
"d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66",0,0,0,0,0,0,0,0,0,0,0,0,673,581,544,561,697,564,883,708,773,754,786,807,781,713
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,139,175,103,118,110,110,98,104,113,76,86,157,127,107
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Geodermatophilus",0,0,0,0,0,0,0,0,0,0,0,0,3884,4226,4309,3944,3860,3366,3683,4335,4206,4599,4388,4050,3851,3087
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia",0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,5,4,10,14,0,7,4,9,2,9,15
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Steroidobacter",0,0,0,0,0,0,0,0,0,0,0,0,1097,873,909,931,1040,1071,779,739,792,795,834,911,821,858
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,55,56,98,74,73,54,52,59,75,49,38,52,22,38
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24;g__R7C24",0,0,0,0,0,0,0,0,0,0,0,0,93,63,81,95,80,96,84,84,79,100,95,92,91,69
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinoallomurus",0,0,0,0,0,0,0,0,0,0,0,0,21,27,9,7,26,15,10,7,14,10,11,12,16,24
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__Candidatus_Paracaedibacter",0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,6,2,7,9,5,1,1,5,2,0,2
"d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa;o__Lineage_IIa;f__Lineage_IIa;g__Lineage_IIa",0,0,0,0,0,0,0,0,0,0,0,0,56,60,54,59,36,46,51,47,31,30,34,27,27,40
"d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,113,126,138,151,126,159,177,96,122,132,104,99,47,169
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,6,2,6,0,2,3,9,3,0,13,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura",0,0,0,0,0,0,0,0,0,0,0,0,38,33,43,51,49,31,15,13,24,29,24,13,11,34
"d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales",0,0,0,0,0,0,0,0,0,0,0,0,155,153,145,174,211,139,124,110,136,204,105,117,106,131
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Larkinella",0,0,0,0,0,0,0,0,0,0,0,0,28,56,36,15,35,67,26,25,16,22,31,20,31,50
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,3,0,0,2,0,3,14,15
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,290,331,322,303,326,245,201,235,283,271,266,280,209,174
"d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14;g__OLB14",0,0,0,0,0,0,0,0,0,0,0,0,24,14,47,41,58,23,47,56,26,31,57,60,44,23
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,71,64,73,92,85,84,72,66,46,76,53,58,45,108
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Ellin6067",0,0,0,0,0,0,0,0,0,0,0,0,622,614,577,591,589,541,490,487,542,582,562,587,585,590
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Sporocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,50,33,28,46,20,47,37,30,20,31,19,15,8,34
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae;g__Polycyclovorans",0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,7,2,0,7,0,7,15,15,0,3
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter",0,0,0,0,0,0,0,0,0,0,0,0,399,400,382,403,426,418,398,384,348,363,390,358,430,387
