"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter",0,1,0,2,0,0,0,4,2,0,0,0,19558,19284,19995,20359,20731,21440,17530,17641,16697,16470,16906,17584,18348,19461
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella",7,9,5,8,4,3,2,5,2,7,4,3,912,967,896,974,836,764,809,800,763,827,831,773,708,740
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas",47,68,54,34,22,25,30,39,42,35,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas",2,0,5,3,0,8,0,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum",0,3,0,0,0,4,0,0,0,0,5,0,279,241,196,300,238,274,227,225,250,162,219,199,241,265
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",12,16,8,20,11,25,45,47,33,24,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium",1,2,1,0,2,0,3,2,2,0,0,0,37,45,29,32,59,37,13,30,40,28,30,36,39,44
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured",1,0,3,0,0,0,5,3,0,1,1,0,478,467,422,464,407,433,363,384,504,428,388,424,445,360
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__",18,10,23,33,7,12,24,15,14,21,22,16,855,937,847,945,892,1022,783,708,750,667,657,912,790,865
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__",11,17,27,18,6,25,30,26,28,31,19,24,3648,3566,3427,3599,3692,3785,3096,2974,3094,3263,3283,3314,3290,3243
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola",3,2,0,0,6,0,0,1,0,0,0,0,202,255,212,241,212,193,163,240,246,280,202,194,176,214
"d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus",605,637,684,656,738,726,825,787,737,753,727,793,23,30,14,18,8,35,20,25,18,25,15,11,30,14
"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema",0,0,1,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
